# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCA_002893805.1	Primary Assembly	chromosome		CP025941.1	1	4175806	-							C0W65_00005	825		pseudo
CDS	without_protein	GCA_002893805.1	Primary Assembly	chromosome		CP025941.1	1	4175806	-				octanoyltransferase			C0W65_00005	825		pseudo
gene	pseudogene	GCA_002893805.1	Primary Assembly	chromosome		CP025941.1	713	1090	+							C0W65_00010	378		pseudo
CDS	without_protein	GCA_002893805.1	Primary Assembly	chromosome		CP025941.1	713	1090	+				rhodanese-like domain-containing protein			C0W65_00010	378		pseudo
gene	pseudogene	GCA_002893805.1	Primary Assembly	chromosome		CP025941.1	1122	2587	-							C0W65_00015	1466		pseudo
CDS	without_protein	GCA_002893805.1	Primary Assembly	chromosome		CP025941.1	1122	2587	-				glycine dehydrogenase (aminomethyl-transferring)			C0W65_00015	1466		pseudo
gene	pseudogene	GCA_002893805.1	Primary Assembly	chromosome		CP025941.1	2594	3922	-							C0W65_00020	1329		pseudo
CDS	without_protein	GCA_002893805.1	Primary Assembly	chromosome		CP025941.1	2594	3922	-				aminomethyl-transferring glycine dehydrogenase			C0W65_00020	1329		pseudo
gene	protein_coding	GCA_002893805.1	Primary Assembly	chromosome		CP025941.1	3951	5039	-					gcvT		C0W65_00025	1089		
CDS	with_protein	GCA_002893805.1	Primary Assembly	chromosome		CP025941.1	3951	5039	-	AUS10543.1			glycine cleavage system protein T	gcvT		C0W65_00025	1089	362	
gene	protein_coding	GCA_002893805.1	Primary Assembly	chromosome		CP025941.1	5482	7155	+							C0W65_00030	1674		
CDS	with_protein	GCA_002893805.1	Primary Assembly	chromosome		CP025941.1	5482	7155	+	AUS10544.1			ATP-dependent helicase			C0W65_00030	1674	557	
gene	protein_coding	GCA_002893805.1	Primary Assembly	chromosome		CP025941.1	7176	7970	+							C0W65_00035	795		
CDS	with_protein	GCA_002893805.1	Primary Assembly	chromosome		CP025941.1	7176	7970	+	AUS10545.1			hypothetical protein			C0W65_00035	795	264	
gene	protein_coding	GCA_002893805.1	Primary Assembly	chromosome		CP025941.1	8154	8327	+							C0W65_00040	174		
CDS	with_protein	GCA_002893805.1	Primary Assembly	chromosome		CP025941.1	8154	8327	+	AUS10546.1			DNA-binding anti-repressor SinI			C0W65_00040	174	57	
gene	protein_coding	GCA_002893805.1	Primary Assembly	chromosome		CP025941.1	8361	8696	+							C0W65_00045	336		
CDS	with_protein	GCA_002893805.1	Primary Assembly	chromosome		CP025941.1	8361	8696	+	AUS10547.1			transcriptional regulator			C0W65_00045	336	111	
gene	protein_coding	GCA_002893805.1	Primary Assembly	chromosome		CP025941.1	8790	9575	-							C0W65_00050	786		
