# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	13	1341	+							S101267_00001	1329		
CDS	with_protein	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	13	1341	+	ARW37169.1			Chromosomal replication initiator protein DnaA			S101267_00001	1329	442	
gene	protein_coding	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	1527	2663	+					dnaN		S101267_00002	1137		
CDS	with_protein	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	1527	2663	+	ARW37170.1			DNA-directed DNA polymerase	dnaN		S101267_00002	1137	378	
gene	protein_coding	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	2803	3018	+							S101267_00003	216		
CDS	with_protein	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	2803	3018	+	ARW37171.1			uncharacterized protein			S101267_00003	216	71	
gene	protein_coding	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	3034	4146	+							S101267_00004	1113		
CDS	with_protein	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	3034	4146	+	ARW37172.1			DNA replication and repair protein RecF			S101267_00004	1113	370	
gene	protein_coding	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	4164	4409	+							S101267_00005	246		
CDS	with_protein	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	4164	4409	+	ARW37173.1			uncharacterized protein			S101267_00005	246	81	
gene	protein_coding	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	4460	6382	+					gyrB		S101267_00006	1923		
CDS	with_protein	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	4460	6382	+	ARW37174.1			DNA topoisomerase (ATP-hydrolyzing)	gyrB		S101267_00006	1923	640	
gene	protein_coding	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	6599	9058	+					gyrA		S101267_00007	2460		
CDS	with_protein	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	6599	9058	+	ARW37175.1			DNA topoisomerase (ATP-hydrolyzing)	gyrA		S101267_00007	2460	819	
gene	rRNA	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	9355	10904	+							S101267_00008	1550		
rRNA		GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	9355	10904	+				16S ribosomal RNA			S101267_00008	1550		
gene	tRNA	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	11005	11081	+							S101267_00009	77		
tRNA		GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	11005	11081	+				tRNA-Ile			S101267_00009	77		
gene	tRNA	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	11096	11171	+							S101267_00010	76		
tRNA		GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	11096	11171	+				tRNA-Ala			S101267_00010	76		
gene	rRNA	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	11253	14182	+							S101267_00011	2930		
rRNA		GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	11253	14182	+				23S ribosomal RNA			S101267_00011	2930		
gene	rRNA	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	14234	14349	+							S101267_00012	116		
rRNA		GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	14234	14349	+				5S ribosomal RNA			S101267_00012	116		
gene	protein_coding	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	14396	15385	-							S101267_00013	990		
CDS	with_protein	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	14396	15385	-	ARW37176.1			uncharacterized protein			S101267_00013	990	329	
gene	protein_coding	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	15467	16933	+					guaB		S101267_00014	1467		
CDS	with_protein	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	15467	16933	+	ARW37177.1			IMP dehydrogenase	guaB		S101267_00014	1467	488	
gene	protein_coding	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	17086	18417	+					dacC		S101267_00015	1332		
CDS	with_protein	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	17086	18417	+	ARW37178.1			Serine-type D-Ala-D-Ala carboxypeptidase	dacC		S101267_00015	1332	443	
gene	protein_coding	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	18615	19499	+					pdxS		S101267_00016	885		
CDS	with_protein	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	18615	19499	+	ARW37179.1			Pyridoxal 5'-phosphate synthase (glutamine hydrolyzing)	pdxS		S101267_00016	885	294	
gene	protein_coding	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	19521	20111	+					pdxT		S101267_00017	591		
CDS	with_protein	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	19521	20111	+	ARW37180.1			Pyridoxal 5'-phosphate synthase (glutamine hydrolyzing)	pdxT		S101267_00017	591	196	
gene	protein_coding	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	20431	21708	+					sarS		S101267_00018	1278		
CDS	with_protein	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	20431	21708	+	ARW37181.1			Serine--tRNA ligase	sarS		S101267_00018	1278	425	
gene	protein_coding	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	21719	22864	-					glxK		S101267_00019	1146		
CDS	with_protein	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	21719	22864	-	ARW37182.1			Glycerate 3-kinase	glxK		S101267_00019	1146	381	
gene	tRNA	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	23083	23175	+							S101267_00020	93		
tRNA		GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	23083	23175	+				tRNA-Ser			S101267_00020	93		
gene	protein_coding	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	23304	23957	-							S101267_00021	654		
CDS	with_protein	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	23304	23957	-	ARW37183.1			Deoxyadenosine kinase			S101267_00021	654	217	
gene	protein_coding	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	23954	24577	-							S101267_00022	624		
CDS	with_protein	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	23954	24577	-	ARW37184.1			Deoxyguanosine kinase			S101267_00022	624	207	
gene	protein_coding	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	24674	25954	-							S101267_00023	1281		
CDS	with_protein	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	24674	25954	-	ARW37185.1			Spore germination protein YaaH			S101267_00023	1281	426	
gene	protein_coding	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	26029	26580	-					entB		S101267_00024	552		
CDS	with_protein	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	26029	26580	-	ARW37186.1			Isochorismatase	entB		S101267_00024	552	183	
gene	protein_coding	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	26663	27145	+					tadA		S101267_00025	483		
CDS	with_protein	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	26663	27145	+	ARW37187.1			tRNA(adenine(34)) deaminase	tadA		S101267_00025	483	160	
gene	protein_coding	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	27628	29319	+					dnaX		S101267_00026	1692		
CDS	with_protein	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	27628	29319	+	ARW37188.1			DNA-directed DNA polymerase	dnaX		S101267_00026	1692	563	
gene	protein_coding	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	29344	29667	+							S101267_00027	324		
CDS	with_protein	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	29344	29667	+	ARW37189.1			Nucleoid-associated protein			S101267_00027	324	107	
gene	protein_coding	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	29682	30278	+							S101267_00028	597		
CDS	with_protein	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	29682	30278	+	ARW37190.1			Recombination protein RecR			S101267_00028	597	198	
gene	protein_coding	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	30297	30521	+							S101267_00029	225		
CDS	with_protein	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	30297	30521	+	ARW37191.1			uncharacterized protein			S101267_00029	225	74	
gene	protein_coding	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	30582	30845	+							S101267_00030	264		
CDS	with_protein	GCA_002173635.1	Primary Assembly	chromosome		CP021505.1	30582	30845	+	ARW37192.1			Sigma-K factor-processing regulatory protein BofA			S101267_00030	264	87	
