# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000264255.1	Primary Assembly	unplaced scaffold		AJWW01000001.1	96	875	-							BAME_00010	780		
CDS		GCA_000264255.1	Primary Assembly	unplaced scaffold		AJWW01000001.1	96	875	-	EIL86686.1			nitroreductase family protein			BAME_00010	780	259	
gene	protein_coding	GCA_000264255.1	Primary Assembly	unplaced scaffold		AJWW01000001.1	954	2210	+							BAME_00020	1257		
CDS		GCA_000264255.1	Primary Assembly	unplaced scaffold		AJWW01000001.1	954	2210	+	EIL86687.1			transcriptional activator			BAME_00020	1257	418	
gene	protein_coding	GCA_000264255.1	Primary Assembly	unplaced scaffold		AJWW01000001.1	2246	2713	-							BAME_00030	468		
CDS		GCA_000264255.1	Primary Assembly	unplaced scaffold		AJWW01000001.1	2246	2713	-	EIL86688.1			hypothetical protein			BAME_00030	468	155	
gene	protein_coding	GCA_000264255.1	Primary Assembly	unplaced scaffold		AJWW01000001.1	2891	3007	-							BAME_00040	117		
CDS		GCA_000264255.1	Primary Assembly	unplaced scaffold		AJWW01000001.1	2891	3007	-	EIL86689.1			hypothetical protein			BAME_00040	117	38	
gene	protein_coding	GCA_000264255.1	Primary Assembly	unplaced scaffold		AJWW01000001.1	3053	3601	-							BAME_00050	549		
CDS		GCA_000264255.1	Primary Assembly	unplaced scaffold		AJWW01000001.1	3053	3601	-	EIL86690.1			thioredoxin			BAME_00050	549	182	
gene	protein_coding	GCA_000264255.1	Primary Assembly	unplaced scaffold		AJWW01000001.1	3695	6265	-							BAME_00060	2571		
CDS		GCA_000264255.1	Primary Assembly	unplaced scaffold		AJWW01000001.1	3695	6265	-	EIL86691.1			hypothetical protein			BAME_00060	2571	856	
gene	protein_coding	GCA_000264255.1	Primary Assembly	unplaced scaffold		AJWW01000001.1	6434	6913	+							BAME_00070	480		
CDS		GCA_000264255.1	Primary Assembly	unplaced scaffold		AJWW01000001.1	6434	6913	+	EIL86692.1			yfiV			BAME_00070	480	159	
gene	protein_coding	GCA_000264255.1	Primary Assembly	unplaced scaffold		AJWW01000001.1	6931	7215	-							BAME_00080	285		
CDS		GCA_000264255.1	Primary Assembly	unplaced scaffold		AJWW01000001.1	6931	7215	-	EIL86693.1			hypothetical protein			BAME_00080	285	94	
gene	protein_coding	GCA_000264255.1	Primary Assembly	unplaced scaffold		AJWW01000001.1	7228	7758	-							BAME_00090	531		
CDS		GCA_000264255.1	Primary Assembly	unplaced scaffold		AJWW01000001.1	7228	7758	-	EIL86694.1			putative metal-dependent hydrolase YfiT			BAME_00090	531	176	
gene	protein_coding	GCA_000264255.1	Primary Assembly	unplaced scaffold		AJWW01000001.1	7772	8815	-							BAME_00100	1044		
CDS		GCA_000264255.1	Primary Assembly	unplaced scaffold		AJWW01000001.1	7772	8815	-	EIL86695.1			NADPH:quinone reductase			BAME_00100	1044	347	
gene	protein_coding	GCA_000264255.1	Primary Assembly	unplaced scaffold		AJWW01000001.1	8869	9366	-							BAME_00110	498		
CDS		GCA_000264255.1	Primary Assembly	unplaced scaffold		AJWW01000001.1	8869	9366	-	EIL86696.1			hypothetical protein			BAME_00110	498	165	
gene	protein_coding	GCA_000264255.1	Primary Assembly	unplaced scaffold		AJWW01000001.1	9466	10224	-							BAME_00120	759		
CDS		GCA_000264255.1	Primary Assembly	unplaced scaffold		AJWW01000001.1	9466	10224	-	EIL86697.1			hypothetical protein			BAME_00120	759	252	
gene	protein_coding	GCA_000264255.1	Primary Assembly	unplaced scaffold		AJWW01000001.1	10221	10787	-							BAME_00130	567		
CDS		GCA_000264255.1	Primary Assembly	unplaced scaffold		AJWW01000001.1	10221	10787	-	EIL86698.1			DNA-directed RNA polymerase sigma subunit			BAME_00130	567	188	
gene	protein_coding	GCA_000264255.1	Primary Assembly	unplaced scaffold		AJWW01000001.1	11142	11468	+							BAME_00140	327		
CDS		GCA_000264255.1	Primary Assembly	unplaced scaffold		AJWW01000001.1	11142	11468	+	EIL86699.1			membrane protein YfjF			BAME_00140	327	108	
gene	protein_coding	GCA_000264255.1	Primary Assembly	unplaced scaffold		AJWW01000001.1	11539	11661	+							BAME_00150	123		
CDS		GCA_000264255.1	Primary Assembly	unplaced scaffold		AJWW01000001.1	11539	11661	+	EIL86700.1			hypothetical protein			BAME_00150	123	40	
gene	protein_coding	GCA_000264255.1	Primary Assembly	unplaced scaffold		AJWW01000001.1	11720	13435	-							BAME_00160	1716		
CDS		GCA_000264255.1	Primary Assembly	unplaced scaffold		AJWW01000001.1	11720	13435	-	EIL86701.1			lipid A export ATP-binding/permease protein MsbA			BAME_00160	1716	571	
gene	protein_coding	GCA_000264255.1	Primary Assembly	unplaced scaffold		AJWW01000001.1	13448	14380	-							BAME_00170	933		
CDS		GCA_000264255.1	Primary Assembly	unplaced scaffold		AJWW01000001.1	13448	14380	-	EIL86702.1			ferrichrome-binding protein			BAME_00170	933	310	
