# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	rRNA	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	7	121	+							IKG_06228	115		
rRNA		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	7	121	+				5S ribosomal RNA			IKG_06228	115		
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	329	790	+							IKG_00001	462		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	329	790	+	EJS08684.1			hypothetical protein			IKG_00001	462	153	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	961	1509	+							IKG_00002	549		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	961	1509	+	EJS08685.1			hypothetical protein			IKG_00002	549	182	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	1514	2578	+							IKG_00003	1065		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	1514	2578	+	EJS08686.1			hypothetical protein			IKG_00003	1065	354	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	2601	5036	+							IKG_00004	2436		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	2601	5036	+	EJS08687.1			chaperone ClpB			IKG_00004	2436	811	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	5132	6508	+							IKG_00005	1377		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	5132	6508	+	EJS08688.1			DNA repair protein RadA			IKG_00005	1377	458	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	6512	7585	+							IKG_00006	1074		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	6512	7585	+	EJS08689.1			DNA integrity scanning protein disA			IKG_00006	1074	357	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	7746	8855	+							IKG_00007	1110		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	7746	8855	+	EJS08690.1			hypothetical protein			IKG_00007	1110	369	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	8872	9552	+							IKG_00008	681		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	8872	9552	+	EJS08691.1			2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase			IKG_00008	681	226	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	9669	10145	+							IKG_00009	477		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	9669	10145	+	EJS08692.1			2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase			IKG_00009	477	158	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	10235	11692	+							IKG_00010	1458		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	10235	11692	+	EJS08693.1			glutamyl-tRNA synthetase			IKG_00010	1458	485	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	12137	12802	+							IKG_00011	666		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	12137	12802	+	EJS08694.1			serine acetyltransferase			IKG_00011	666	221	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	12783	14180	+							IKG_00012	1398		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	12783	14180	+	EJS08695.1			cysteinyl-tRNA synthetase			IKG_00012	1398	465	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	14183	14590	+							IKG_00013	408		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	14183	14590	+	EJS08696.1			hypothetical protein			IKG_00013	408	135	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	14587	15330	+							IKG_00014	744		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	14587	15330	+	EJS08697.1			RNA methyltransferase, TrmH family, group 3			IKG_00014	744	247	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	15334	15846	+							IKG_00015	513		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	15334	15846	+	EJS08698.1			hypothetical protein			IKG_00015	513	170	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	15914	16573	+							IKG_00016	660		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	15914	16573	+	EJS08699.1			RNA polymerase sigma-H factor			IKG_00016	660	219	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	16889	17068	+							IKG_00017	180		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	16889	17068	+	EJS08700.1			preprotein translocase, SecE subunit			IKG_00017	180	59	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	17200	17733	+							IKG_00018	534		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	17200	17733	+	EJS08701.1			transcription antitermination protein nusG			IKG_00018	534	177	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	17901	18326	+							IKG_00019	426		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	17901	18326	+	EJS08702.1			50S ribosomal protein L11			IKG_00019	426	141	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	18503	19195	+							IKG_00020	693		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	18503	19195	+	EJS08703.1			50S ribosomal protein L1			IKG_00020	693	230	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	19429	19929	+							IKG_00021	501		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	19429	19929	+	EJS08704.1			50S ribosomal protein L10			IKG_00021	501	166	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	19997	20356	+							IKG_00022	360		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	19997	20356	+	EJS08705.1			50S ribosomal protein L7/L12			IKG_00022	360	119	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	20433	21032	+							IKG_00023	600		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	20433	21032	+	EJS08706.1			hypothetical protein			IKG_00023	600	199	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	21324	24857	+							IKG_00024	3534		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	21324	24857	+	EJS08707.1			DNA-directed RNA polymerase subunit beta			IKG_00024	3534	1177	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	24895	28506	+							IKG_00025	3612		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	24895	28506	+	EJS08708.1			DNA-directed RNA polymerase subunit beta'			IKG_00025	3612	1203	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	28620	28868	+							IKG_00026	249		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	28620	28868	+	EJS08709.1			hypothetical protein			IKG_00026	249	82	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	28983	29405	+							IKG_00027	423		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	28983	29405	+	EJS08710.1			30S ribosomal protein S12			IKG_00027	423	140	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	29435	29905	+							IKG_00028	471		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	29435	29905	+	EJS08711.1			30S ribosomal protein S7			IKG_00028	471	156	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	30114	32192	+							IKG_00029	2079		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	30114	32192	+	EJS08712.1			elongation factor G			IKG_00029	2079	692	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	32310	33497	+							IKG_00030	1188		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	32310	33497	+	EJS08713.1			elongation factor Tu			IKG_00030	1188	395	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	33896	34204	+							IKG_00031	309		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	33896	34204	+	EJS08714.1			30S ribosomal protein S10			IKG_00031	309	102	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	34239	34871	+							IKG_00032	633		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	34239	34871	+	EJS08715.1			50S ribosomal protein L3			IKG_00032	633	210	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	34897	35520	+							IKG_00033	624		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	34897	35520	+	EJS08716.1			50S ribosomal protein L4			IKG_00033	624	207	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	35520	35810	+							IKG_00034	291		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	35520	35810	+	EJS08717.1			50S ribosomal protein L23			IKG_00034	291	96	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	35839	36669	+							IKG_00035	831		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	35839	36669	+	EJS08718.1			50S ribosomal protein L2			IKG_00035	831	276	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	36730	37008	+							IKG_00036	279		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	36730	37008	+	EJS08719.1			30S ribosomal protein S19			IKG_00036	279	92	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	37026	37367	+							IKG_00037	342		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	37026	37367	+	EJS08720.1			50S ribosomal protein L22			IKG_00037	342	113	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	37371	38030	+							IKG_00038	660		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	37371	38030	+	EJS08721.1			30S ribosomal protein S3			IKG_00038	660	219	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	38032	38466	+							IKG_00039	435		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	38032	38466	+	EJS08722.1			50S ribosomal protein L16			IKG_00039	435	144	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	38456	38656	+							IKG_00040	201		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	38456	38656	+	EJS08723.1			50S ribosomal protein L29			IKG_00040	201	66	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	38677	38940	+							IKG_00041	264		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	38677	38940	+	EJS08724.1			30S ribosomal protein S17			IKG_00041	264	87	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	38984	39352	+							IKG_00042	369		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	38984	39352	+	EJS08725.1			50S ribosomal protein L14			IKG_00042	369	122	
gene	protein_coding	GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	39391	39702	+							IKG_00043	312		
CDS		GCA_000290715.1	Primary Assembly	unplaced scaffold		JH791819.1	39391	39702	+	EJS08726.1			50S ribosomal protein L24			IKG_00043	312	103	
