# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCA_002688525.1	Primary Assembly	chromosome		CP023859.1	2	514	-							CRH11_00005	513		pseudo
CDS	without_protein	GCA_002688525.1	Primary Assembly	chromosome		CP023859.1	2	514	-				single-stranded DNA-binding protein			CRH11_00005	513		pseudo
gene	protein_coding	GCA_002688525.1	Primary Assembly	chromosome		CP023859.1	748	1029	-							CRH11_00010	282		
CDS	with_protein	GCA_002688525.1	Primary Assembly	chromosome		CP023859.1	748	1029	-	ATO08489.1			hypothetical protein			CRH11_00010	282	93	
gene	protein_coding	GCA_002688525.1	Primary Assembly	chromosome		CP023859.1	1038	1313	-							CRH11_00015	276		
CDS	with_protein	GCA_002688525.1	Primary Assembly	chromosome		CP023859.1	1038	1313	-	ATO08490.1			hypothetical protein			CRH11_00015	276	91	
gene	protein_coding	GCA_002688525.1	Primary Assembly	chromosome		CP023859.1	1616	1975	-							CRH11_00020	360		
CDS	with_protein	GCA_002688525.1	Primary Assembly	chromosome		CP023859.1	1616	1975	-	ATO08491.1			hypothetical protein			CRH11_00020	360	119	
gene	protein_coding	GCA_002688525.1	Primary Assembly	chromosome		CP023859.1	2013	2285	-							CRH11_00025	273		
CDS	with_protein	GCA_002688525.1	Primary Assembly	chromosome		CP023859.1	2013	2285	-	ATO08492.1			hypothetical protein			CRH11_00025	273	90	
gene	protein_coding	GCA_002688525.1	Primary Assembly	chromosome		CP023859.1	2506	2880	-							CRH11_00030	375		
CDS	with_protein	GCA_002688525.1	Primary Assembly	chromosome		CP023859.1	2506	2880	-	ATO08493.1			hypothetical protein			CRH11_00030	375	124	
gene	protein_coding	GCA_002688525.1	Primary Assembly	chromosome		CP023859.1	3541	3726	-							CRH11_00035	186		
CDS	with_protein	GCA_002688525.1	Primary Assembly	chromosome		CP023859.1	3541	3726	-	ATO08494.1			hypothetical protein			CRH11_00035	186	61	
gene	protein_coding	GCA_002688525.1	Primary Assembly	chromosome		CP023859.1	3799	4047	+							CRH11_00040	249		
CDS	with_protein	GCA_002688525.1	Primary Assembly	chromosome		CP023859.1	3799	4047	+	ATO08495.1			hypothetical protein			CRH11_00040	249	82	
gene	protein_coding	GCA_002688525.1	Primary Assembly	chromosome		CP023859.1	4101	4346	+							CRH11_00045	246		
CDS	with_protein	GCA_002688525.1	Primary Assembly	chromosome		CP023859.1	4101	4346	+	ATO08496.1			transcriptional regulator			CRH11_00045	246	81	
