# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCA_002982175.1	Primary Assembly	chromosome		CP020023.1	2	199	+							BS21228_00005	198		pseudo
CDS	without_protein	GCA_002982175.1	Primary Assembly	chromosome		CP020023.1	2	199	+				hypothetical protein			BS21228_00005	198		pseudo
gene	protein_coding	GCA_002982175.1	Primary Assembly	chromosome		CP020023.1	211	393	+							BS21228_00010	183		
CDS	with_protein	GCA_002982175.1	Primary Assembly	chromosome		CP020023.1	211	393	+	AVL02930.1			hypothetical protein			BS21228_00010	183	60	
gene	pseudogene	GCA_002982175.1	Primary Assembly	chromosome		CP020023.1	456	4165	+							BS21228_00015	3710		pseudo
CDS	without_protein	GCA_002982175.1	Primary Assembly	chromosome		CP020023.1	456	4165	+				hypothetical protein			BS21228_00015	3710		pseudo
gene	pseudogene	GCA_002982175.1	Primary Assembly	chromosome		CP020023.1	4178	5009	+							BS21228_00020	832		pseudo
CDS	without_protein	GCA_002982175.1	Primary Assembly	chromosome		CP020023.1	4178	5009	+				phage tail protein			BS21228_00020	832		pseudo
gene	pseudogene	GCA_002982175.1	Primary Assembly	chromosome		CP020023.1	5022	6895	+							BS21228_00025	1874		pseudo
CDS	without_protein	GCA_002982175.1	Primary Assembly	chromosome		CP020023.1	5022	6895	+				autolysin			BS21228_00025	1874		pseudo
gene	protein_coding	GCA_002982175.1	Primary Assembly	chromosome		CP020023.1	6906	8483	+							BS21228_00030	1578		
CDS	with_protein	GCA_002982175.1	Primary Assembly	chromosome		CP020023.1	6906	8483	+	AVL02931.1			hypothetical protein			BS21228_00030	1578	525	
gene	protein_coding	GCA_002982175.1	Primary Assembly	chromosome		CP020023.1	8520	9641	+							BS21228_00035	1122		
