# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000022865.1	Primary Assembly	chromosome		CP001598.1	307	1647	+					dnaA		BAA_0001	1341		
CDS		GCA_000022865.1	Primary Assembly	chromosome		CP001598.1	307	1647	+	ACQ46614.1			chromosomal replication initiator protein DnaA	dnaA		BAA_0001	1341	446	
gene	protein_coding	GCA_000022865.1	Primary Assembly	chromosome		CP001598.1	1826	2965	+					dnaN1		BAA_0002	1140		
CDS		GCA_000022865.1	Primary Assembly	chromosome		CP001598.1	1826	2965	+	ACQ47466.1			DNA polymerase III, beta subunit	dnaN1		BAA_0002	1140	379	
gene	protein_coding	GCA_000022865.1	Primary Assembly	chromosome		CP001598.1	3093	3305	+							BAA_0003	213		
CDS		GCA_000022865.1	Primary Assembly	chromosome		CP001598.1	3093	3305	+	ACQ47996.1			conserved hypothetical protein			BAA_0003	213	70	
gene	protein_coding	GCA_000022865.1	Primary Assembly	chromosome		CP001598.1	3318	4445	+					recF		BAA_0004	1128		
CDS		GCA_000022865.1	Primary Assembly	chromosome		CP001598.1	3318	4445	+	ACQ48913.1			DNA replication and repair protein RecF	recF		BAA_0004	1128	375	
gene	protein_coding	GCA_000022865.1	Primary Assembly	chromosome		CP001598.1	4484	6406	+					gyrB		BAA_0005	1923		
CDS		GCA_000022865.1	Primary Assembly	chromosome		CP001598.1	4484	6406	+	ACQ49443.1			DNA gyrase, B subunit	gyrB		BAA_0005	1923	640	
gene	protein_coding	GCA_000022865.1	Primary Assembly	chromosome		CP001598.1	6495	8966	+					gyrA		BAA_0006	2472		
CDS		GCA_000022865.1	Primary Assembly	chromosome		CP001598.1	6495	8966	+	ACQ50267.1			DNA gyrase, A subunit	gyrA		BAA_0006	2472	823	
gene	rRNA	GCA_000022865.1	Primary Assembly	chromosome		CP001598.1	9233	10741	+					rrs_1		BAA_0007	1509		
rRNA		GCA_000022865.1	Primary Assembly	chromosome		CP001598.1	9233	10741	+				16S ribosomal RNA	rrs_1		BAA_0007	1509		
gene	tRNA	GCA_000022865.1	Primary Assembly	chromosome		CP001598.1	10891	10969	+							BAA_0008	79		
