# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	1	132	+							BA79_00005	132		partial
CDS		GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	1	132	+	KDE32288.1			Transposase			BA79_00005	132	43	partial
gene	protein_coding	GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	264	1553	-							BA79_00010	1290		
CDS		GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	264	1553	-	KDE32289.1			DAACS family dicarboxylate/amino acid:cation symporter			BA79_00010	1290	429	
gene	protein_coding	GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	1893	2030	-							BA79_00015	138		
CDS		GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	1893	2030	-	KDE32290.1			hypothetical protein			BA79_00015	138	45	
gene	protein_coding	GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	2186	2929	+							BA79_00020	744		
CDS		GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	2186	2929	+	KDE32291.1			metal-dependent hydrolase			BA79_00020	744	247	
gene	protein_coding	GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	2932	3921	+							BA79_00025	990		
CDS		GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	2932	3921	+	KDE32292.1			lipoate--protein ligase			BA79_00025	990	329	
gene	protein_coding	GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	4094	5647	+							BA79_00030	1554		
CDS		GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	4094	5647	+	KDE32293.1			long-chain-fatty-acid--CoA ligase			BA79_00030	1554	517	
gene	protein_coding	GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	5841	6257	-							BA79_00035	417		
CDS		GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	5841	6257	-	KDE32294.1			hypothetical protein			BA79_00035	417	138	
gene	protein_coding	GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	6435	7718	+							BA79_00040	1284		
CDS		GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	6435	7718	+	KDE32295.1			M48 family peptidase			BA79_00040	1284	427	
gene	protein_coding	GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	7765	8910	-							BA79_00045	1146		
CDS		GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	7765	8910	-	KDE32296.1			subtilisin			BA79_00045	1146	381	
gene	protein_coding	GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	9298	9882	-							BA79_00050	585		
CDS		GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	9298	9882	-	KDE32297.1			phosphoglycerate mutase family protein			BA79_00050	585	194	
gene	protein_coding	GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	9944	11239	-							BA79_00055	1296		
CDS		GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	9944	11239	-	KDE32298.1			methyl-accepting chemotaxis protein			BA79_00055	1296	431	
gene	protein_coding	GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	11331	12863	-							BA79_00060	1533		
CDS		GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	11331	12863	-	KDE32299.1			dehydrogenase			BA79_00060	1533	510	
gene	protein_coding	GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	13006	13866	+							BA79_00065	861		
CDS		GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	13006	13866	+	KDE32300.1			spore short-chain dehydrogenase			BA79_00065	861	286	
gene	protein_coding	GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	13925	14161	-							BA79_00070	237		
CDS		GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	13925	14161	-	KDE32301.1			hypothetical protein			BA79_00070	237	78	
gene	protein_coding	GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	14451	15029	+							BA79_00075	579		
CDS		GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	14451	15029	+	KDE32302.1			competence transcription factor CTF			BA79_00075	579	192	
gene	protein_coding	GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	15029	16279	+							BA79_00080	1251		
CDS		GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	15029	16279	+	KDE32303.1			alanine racemase			BA79_00080	1251	416	
gene	protein_coding	GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	16581	17063	+							BA79_00085	483		
CDS		GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	16581	17063	+	KDE32304.1			hypothetical protein			BA79_00085	483	160	
gene	protein_coding	GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	17094	18533	-							BA79_00090	1440		
CDS		GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	17094	18533	-	KDE32305.1			GntR family transcriptional regulator			BA79_00090	1440	479	
gene	protein_coding	GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	18677	19846	+							BA79_00095	1170		
CDS		GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	18677	19846	+	KDE32306.1			major facilitator superfamily transporter			BA79_00095	1170	389	
gene	protein_coding	GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	19909	20187	+							BA79_00100	279		
CDS		GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	19909	20187	+	KDE32307.1			barstar-like protein ribonuclease (barnase) inhibitor			BA79_00100	279	92	
gene	protein_coding	GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	20346	21296	+							BA79_00105	951		
CDS		GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	20346	21296	+	KDE32308.1			ABC transporter ATP-binding protein			BA79_00105	951	316	
gene	protein_coding	GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	21289	22239	+							BA79_00110	951		
CDS		GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	21289	22239	+	KDE32309.1			ABC transporter ATP-binding protein			BA79_00110	951	316	
gene	protein_coding	GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	22230	22988	+							BA79_00115	759		
CDS		GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	22230	22988	+	KDE32310.1			ABC transporter ATP-binding protein			BA79_00115	759	252	
gene	protein_coding	GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	23011	23955	+							BA79_00120	945		
CDS		GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	23011	23955	+	KDE32311.1			ABC transporter ATP-binding protein			BA79_00120	945	314	
gene	protein_coding	GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	24095	25051	+							BA79_00125	957		
CDS		GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	24095	25051	+	KDE32312.1			LytR family transcriptional regulator			BA79_00125	957	318	
gene	protein_coding	GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	25087	25521	-							BA79_00130	435		
CDS		GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	25087	25521	-	KDE32313.1			hypothetical protein			BA79_00130	435	144	
gene	protein_coding	GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	25607	25969	-							BA79_00135	363		
CDS		GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	25607	25969	-	KDE32314.1			hypothetical protein			BA79_00135	363	120	
gene	protein_coding	GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	26129	26746	+							BA79_00140	618		
CDS		GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	26129	26746	+	KDE32315.1			hypothetical protein			BA79_00140	618	205	
gene	protein_coding	GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	26746	27258	+							BA79_00145	513		
CDS		GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	26746	27258	+	KDE32316.1			type I signal peptidase			BA79_00145	513	170	
gene	protein_coding	GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	27294	28436	-							BA79_00150	1143		
CDS		GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	27294	28436	-	KDE32317.1			ammonia monooxygenase			BA79_00150	1143	380	
gene	protein_coding	GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	28711	29133	+							BA79_00155	423		
CDS		GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	28711	29133	+	KDE32318.1			penicillinase repressor			BA79_00155	423	140	
gene	protein_coding	GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	29126	29965	+							BA79_00160	840		
CDS		GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	29126	29965	+	KDE32319.1			M56 family unassigned peptidase			BA79_00160	840	279	
gene	protein_coding	GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	30023	30433	+							BA79_00165	411		
CDS		GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	30023	30433	+	KDE32320.1			hypothetical protein			BA79_00165	411	136	
gene	protein_coding	GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	30625	31071	-							BA79_00170	447		
CDS		GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	30625	31071	-	KDE32321.1			hypothetical protein			BA79_00170	447	148	
gene	protein_coding	GCA_000691145.1	Primary Assembly	unplaced scaffold		ASJC01000001.1	31238	34747	+							BA79_00175	3510		
