# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	tRNA	GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	23	96	+							HMPREF1014_05779	74		
tRNA		GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	23	96	+				tRNA-Arg			HMPREF1014_05779	74		
gene	tRNA	GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	107	180	+							HMPREF1014_05780	74		
tRNA		GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	107	180	+				tRNA-Pro			HMPREF1014_05780	74		
gene	tRNA	GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	196	268	+							HMPREF1014_05781	73		
tRNA		GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	196	268	+				tRNA-Ala			HMPREF1014_05781	73		
gene	tRNA	GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	289	365	+							HMPREF1014_05782	77		
tRNA		GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	289	365	+				tRNA-Met			HMPREF1014_05782	77		
gene	tRNA	GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	370	446	+							HMPREF1014_05783	77		
tRNA		GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	370	446	+				tRNA-Met			HMPREF1014_05783	77		
gene	tRNA	GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	464	556	+							HMPREF1014_05784	93		
tRNA		GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	464	556	+				tRNA-Ser			HMPREF1014_05784	93		
gene	tRNA	GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	584	660	+							HMPREF1014_05785	77		
tRNA		GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	584	660	+				tRNA-Met			HMPREF1014_05785	77		
gene	tRNA	GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	664	739	+							HMPREF1014_05786	76		
tRNA		GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	664	739	+				tRNA-Asp			HMPREF1014_05786	76		
gene	tRNA	GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	753	828	+							HMPREF1014_05787	76		
tRNA		GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	753	828	+				tRNA-Phe			HMPREF1014_05787	76		
gene	tRNA	GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	843	918	+							HMPREF1014_05788	76		
tRNA		GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	843	918	+				tRNA-Thr			HMPREF1014_05788	76		
gene	tRNA	GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	929	1004	+							HMPREF1014_05789	76		
tRNA		GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	929	1004	+				tRNA-Lys			HMPREF1014_05789	76		
gene	tRNA	GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	1018	1088	+							HMPREF1014_05790	71		
tRNA		GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	1018	1088	+				tRNA-Gly			HMPREF1014_05790	71		
gene	tRNA	GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	1099	1175	+							HMPREF1014_05791	77		
tRNA		GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	1099	1175	+				tRNA-Ile			HMPREF1014_05791	77		
gene	tRNA	GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	1183	1257	+							HMPREF1014_05792	75		
tRNA		GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	1183	1257	+				tRNA-Asn			HMPREF1014_05792	75		
gene	tRNA	GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	1265	1355	+							HMPREF1014_05793	91		
tRNA		GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	1265	1355	+				tRNA-Ser			HMPREF1014_05793	91		
gene	tRNA	GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	1361	1432	+							HMPREF1014_05794	72		
tRNA		GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	1361	1432	+				tRNA-Glu			HMPREF1014_05794	72		
gene	protein_coding	GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	2108	3052	+							HMPREF1014_00001	945		
CDS		GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	2108	3052	+	EHL77840.1			L-lactate dehydrogenase 2			HMPREF1014_00001	945	314	
gene	protein_coding	GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	3274	3891	-							HMPREF1014_00002	618		
CDS		GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	3274	3891	-	EHL77841.1			hypothetical protein			HMPREF1014_00002	618	205	
gene	protein_coding	GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	4480	6417	+							HMPREF1014_00003	1938		
CDS		GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	4480	6417	+	EHL77842.1			1,4-alpha-glucan-branching enzyme			HMPREF1014_00003	1938	645	
gene	protein_coding	GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	6365	7495	+							HMPREF1014_00004	1131		
CDS		GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	6365	7495	+	EHL77843.1			glucose-1-phosphate adenylyltransferase			HMPREF1014_00004	1131	376	
gene	protein_coding	GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	7514	8548	+							HMPREF1014_00005	1035		
CDS		GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	7514	8548	+	EHL77844.1			hypothetical protein			HMPREF1014_00005	1035	344	
gene	protein_coding	GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	8595	10091	+							HMPREF1014_00006	1497		
CDS		GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	8595	10091	+	EHL77845.1			glycogen synthase			HMPREF1014_00006	1497	498	
gene	protein_coding	GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	10110	12518	+							HMPREF1014_00007	2409		
CDS		GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	10110	12518	+	EHL77846.1			glycogen/starch/alpha-glucan phosphorylase			HMPREF1014_00007	2409	802	
gene	protein_coding	GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	12622	12756	-							HMPREF1014_00008	135		
CDS		GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	12622	12756	-	EHL77847.1			hypothetical protein			HMPREF1014_00008	135	44	
gene	protein_coding	GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	12833	13555	-							HMPREF1014_00009	723		
CDS		GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	12833	13555	-	EHL77848.1			hypothetical protein			HMPREF1014_00009	723	240	
gene	protein_coding	GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	13894	14043	-							HMPREF1014_00010	150		
CDS		GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	13894	14043	-	EHL77849.1			hypothetical protein			HMPREF1014_00010	150	49	
gene	protein_coding	GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	14258	15040	-							HMPREF1014_00011	783		
CDS		GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	14258	15040	-	EHL77850.1			TIGR00266 family protein			HMPREF1014_00011	783	260	
gene	protein_coding	GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	15432	15632	+							HMPREF1014_00012	201		
CDS		GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	15432	15632	+	EHL77851.1			cold shock-like protein CspD			HMPREF1014_00012	201	66	
gene	protein_coding	GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	15676	16407	-							HMPREF1014_00013	732		
CDS		GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	15676	16407	-	EHL77852.1			yteA family sporulation protein			HMPREF1014_00013	732	243	
gene	protein_coding	GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	16517	17470	-							HMPREF1014_00014	954		
CDS		GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	16517	17470	-	EHL77853.1			1,4-dihydroxy-2-naphthoate octaprenyltransferase			HMPREF1014_00014	954	317	
gene	protein_coding	GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	17665	19059	+							HMPREF1014_00015	1395		
CDS		GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	17665	19059	+	EHL77854.1			isochorismate synthase			HMPREF1014_00015	1395	464	
gene	protein_coding	GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	19056	20810	+							HMPREF1014_00016	1755		
CDS		GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	19056	20810	+	EHL77855.1			2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase			HMPREF1014_00016	1755	584	
gene	protein_coding	GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	20807	21619	+							HMPREF1014_00017	813		
CDS		GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	20807	21619	+	EHL77856.1			2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase			HMPREF1014_00017	813	270	
gene	protein_coding	GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	21688	22506	+							HMPREF1014_00018	819		
CDS		GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	21688	22506	+	EHL77857.1			1,4-Dihydroxy-2-naphthoyl-CoA synthase			HMPREF1014_00018	819	272	
gene	protein_coding	GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	22952	24397	+							HMPREF1014_00019	1446		
CDS		GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	22952	24397	+	EHL77858.1			2-succinylbenzoate-CoA ligase			HMPREF1014_00019	1446	481	
gene	protein_coding	GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	24398	25504	+							HMPREF1014_00020	1107		
CDS		GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	24398	25504	+	EHL77859.1			O-succinylbenzoic acid (OSB) synthetase			HMPREF1014_00020	1107	368	
gene	protein_coding	GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	25760	26458	+							HMPREF1014_00021	699		
CDS		GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	25760	26458	+	EHL77860.1			hypothetical protein			HMPREF1014_00021	699	232	
gene	protein_coding	GCA_000238655.1	Primary Assembly	unplaced scaffold		JH414708.1	26451	27557	+							HMPREF1014_00022	1107		
