# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_002850535.1	Primary Assembly	chromosome		CP025001.1	3	1343	-							CWD84_00005	1341		
CDS	with_protein	GCA_002850535.1	Primary Assembly	chromosome		CP025001.1	3	1343	-	AUJ75317.1			chromosomal replication initiator protein DnaA			CWD84_00005	1341	446	
gene	protein_coding	GCA_002850535.1	Primary Assembly	chromosome		CP025001.1	1963	2097	+							CWD84_00010	135		
CDS	with_protein	GCA_002850535.1	Primary Assembly	chromosome		CP025001.1	1963	2097	+	AUJ75318.1			50S ribosomal protein L34			CWD84_00010	135	44	
gene	protein_coding	GCA_002850535.1	Primary Assembly	chromosome		CP025001.1	2251	2601	+							CWD84_00015	351		
CDS	with_protein	GCA_002850535.1	Primary Assembly	chromosome		CP025001.1	2251	2601	+	AUJ75319.1			ribonuclease P protein component			CWD84_00015	351	116	
gene	protein_coding	GCA_002850535.1	Primary Assembly	chromosome		CP025001.1	2732	3511	+							CWD84_00020	780		
CDS	with_protein	GCA_002850535.1	Primary Assembly	chromosome		CP025001.1	2732	3511	+	AUJ75320.1			OxaA precursor			CWD84_00020	780	259	
gene	protein_coding	GCA_002850535.1	Primary Assembly	chromosome		CP025001.1	3508	4149	+							CWD84_00025	642		
CDS	with_protein	GCA_002850535.1	Primary Assembly	chromosome		CP025001.1	3508	4149	+	AUJ75321.1			protein jag			CWD84_00025	642	213	
gene	protein_coding	GCA_002850535.1	Primary Assembly	chromosome		CP025001.1	4438	5817	+							CWD84_00030	1380		
CDS	with_protein	GCA_002850535.1	Primary Assembly	chromosome		CP025001.1	4438	5817	+	AUJ75322.1			tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE			CWD84_00030	1380	459	
gene	protein_coding	GCA_002850535.1	Primary Assembly	chromosome		CP025001.1	5834	7720	+							CWD84_00035	1887		
CDS	with_protein	GCA_002850535.1	Primary Assembly	chromosome		CP025001.1	5834	7720	+	AUJ75323.1			tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG			CWD84_00035	1887	628	
gene	protein_coding	GCA_002850535.1	Primary Assembly	chromosome		CP025001.1	7734	8453	+							CWD84_00040	720		
CDS	with_protein	GCA_002850535.1	Primary Assembly	chromosome		CP025001.1	7734	8453	+	AUJ75324.1			16S rRNA (guanine(527)-N(7))-methyltransferase RsmG			CWD84_00040	720	239	
gene	protein_coding	GCA_002850535.1	Primary Assembly	chromosome		CP025001.1	8575	9426	+					noc		CWD84_00045	852		
CDS	with_protein	GCA_002850535.1	Primary Assembly	chromosome		CP025001.1	8575	9426	+	AUJ75325.1			nucleoid occlusion protein	noc		CWD84_00045	852	283	
gene	protein_coding	GCA_002850535.1	Primary Assembly	chromosome		CP025001.1	9725	10486	+							CWD84_00050	762		
