# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	412	1752	+							WV34_00005	1341		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	412	1752	+	ASF27282.1			chromosomal replication initiation protein			WV34_00005	1341	446	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	1938	3074	+							WV34_00010	1137		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	1938	3074	+	ASF27283.1			DNA polymerase III subunit beta			WV34_00010	1137	378	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	3210	3425	+							WV34_00015	216		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	3210	3425	+	ASF27284.1			hypothetical protein			WV34_00015	216	71	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	3441	4553	+							WV34_00020	1113		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	3441	4553	+	ASF27285.1			recombinase RecF			WV34_00020	1113	370	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	4571	4816	+							WV34_00025	246		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	4571	4816	+	ASF27286.1			hypothetical protein			WV34_00025	246	81	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	4873	6789	+					gyrB		WV34_00030	1917		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	4873	6789	+	ASF30796.1			DNA gyrase subunit B	gyrB		WV34_00030	1917	638	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	7006	9465	+							WV34_00035	2460		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	7006	9465	+	ASF27287.1			DNA gyrase subunit A			WV34_00035	2460	819	
gene	rRNA	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	9761	11315	+							WV34_00040	1555		
rRNA		GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	9761	11315	+				16S ribosomal RNA			WV34_00040	1555		
gene	rRNA	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	11485	14418	+							WV34_00045	2934		
rRNA		GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	11485	14418	+				23S ribosomal RNA			WV34_00045	2934		
gene	rRNA	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	14467	14582	+							WV34_00050	116		
rRNA		GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	14467	14582	+				5S ribosomal RNA			WV34_00050	116		
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	14629	15579	-							WV34_00055	951		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	14629	15579	-	ASF30797.1			hypothetical protein			WV34_00055	951	316	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	15700	17166	+							WV34_00060	1467		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	15700	17166	+	ASF27288.1			inosine-5-monophosphate dehydrogenase			WV34_00060	1467	488	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	17301	18650	+							WV34_00065	1350		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	17301	18650	+	ASF27289.1			D-alanyl-D-alanine carboxypeptidase			WV34_00065	1350	449	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	18848	19732	+							WV34_00070	885		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	18848	19732	+	ASF27290.1			pyridoxal biosynthesis protein			WV34_00070	885	294	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	19754	20344	+							WV34_00075	591		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	19754	20344	+	ASF27291.1			glutamine amidotransferase			WV34_00075	591	196	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	20664	21941	+							WV34_00080	1278		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	20664	21941	+	ASF27292.1			seryl-tRNA synthetase			WV34_00080	1278	425	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	21953	23098	-							WV34_00085	1146		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	21953	23098	-	ASF27293.1			glycerate kinase			WV34_00085	1146	381	
gene	tRNA	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	23317	23409	+							WV34_00090	93		
tRNA		GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	23317	23409	+				tRNA-Ser			WV34_00090	93		anticodon=TGA
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	23539	24192	-							WV34_00095	654		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	23539	24192	-	ASF27294.1			deoxycytidine kinase			WV34_00095	654	217	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	24189	24812	-							WV34_00100	624		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	24189	24812	-	ASF27295.1			deoxyguanosine kinase			WV34_00100	624	207	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	24908	26188	-							WV34_00105	1281		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	24908	26188	-	ASF27296.1			spore gernimation protein			WV34_00105	1281	426	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	26263	26775	-							WV34_00110	513		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	26263	26775	-	ASF30798.1			isochorismatase			WV34_00110	513	170	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	26897	27379	+							WV34_00115	483		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	26897	27379	+	ASF27297.1			adenosine deaminase			WV34_00115	483	160	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	27862	29553	+							WV34_00120	1692		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	27862	29553	+	ASF27298.1			DNA polymerase III subunit gamma/tau			WV34_00120	1692	563	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	29578	29901	+							WV34_00125	324		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	29578	29901	+	ASF27299.1			nucleoid-associated protein			WV34_00125	324	107	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	29916	30512	+							WV34_00130	597		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	29916	30512	+	ASF27300.1			recombinase RecR			WV34_00130	597	198	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	30531	30755	+							WV34_00135	225		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	30531	30755	+	ASF27301.1			hypothetical protein			WV34_00135	225	74	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	30816	31079	+							WV34_00140	264		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	30816	31079	+	ASF27302.1			sigma-K factor-processing regulatory protein BofA			WV34_00140	264	87	
gene	rRNA	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	31328	32882	+							WV34_00145	1555		
rRNA		GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	31328	32882	+				16S ribosomal RNA			WV34_00145	1555		
gene	rRNA	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	33052	35985	+							WV34_00150	2934		
rRNA		GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	33052	35985	+				23S ribosomal RNA			WV34_00150	2934		
gene	rRNA	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	36034	36149	+							WV34_00155	116		
rRNA		GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	36034	36149	+				5S ribosomal RNA			WV34_00155	116		
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	36325	36519	+							WV34_00160	195		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	36325	36519	+	ASF27303.1			CsfB			WV34_00160	195	64	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	36669	37283	+							WV34_00165	615		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	36669	37283	+	ASF27304.1			protein xpaC			WV34_00165	615	204	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	37299	38414	+							WV34_00170	1116		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	37299	38414	+	ASF27305.1			tellurite resistance protein TelA			WV34_00170	1116	371	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	38492	39925	+							WV34_00175	1434		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	38492	39925	+	ASF27306.1			hypothetical protein			WV34_00175	1434	477	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	39922	40560	+							WV34_00180	639		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	39922	40560	+	ASF27307.1			thymidylate kinase			WV34_00180	639	212	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	40631	40960	+							WV34_00185	330		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	40631	40960	+	ASF27308.1			hypothetical protein			WV34_00185	330	109	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	40973	41413	+							WV34_00190	441		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	40973	41413	+	ASF27309.1			hypothetical protein			WV34_00190	441	146	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	41425	42414	+							WV34_00195	990		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	41425	42414	+	ASF27310.1			DNA polymerase III subunit delta'			WV34_00195	990	329	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	42417	43244	+							WV34_00200	828		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	42417	43244	+	ASF27311.1			stage 0 sporulation protein			WV34_00200	828	275	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	43259	43618	+							WV34_00205	360		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	43259	43618	+	ASF27312.1			DNA replication initiation control protein YabA			WV34_00205	360	119	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	43679	44422	+							WV34_00210	744		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	43679	44422	+	ASF27313.1			hypothetical protein			WV34_00210	744	247	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	44409	44708	+							WV34_00215	300		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	44409	44708	+	ASF27314.1			hypothetical protein			WV34_00215	300	99	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	44683	45564	+							WV34_00220	882		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	44683	45564	+	ASF27315.1			16S rRNA methyltransferase			WV34_00220	882	293	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	45614	45898	-							WV34_00225	285		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	45614	45898	-	ASF27316.1			transition state regulator Abh			WV34_00225	285	94	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	46387	48378	+							WV34_00230	1992		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	46387	48378	+	ASF27317.1			methionyl-tRNA synthetase			WV34_00230	1992	663	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	48455	49222	+							WV34_00235	768		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	48455	49222	+	ASF27318.1			hydrolase TatD			WV34_00235	768	255	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	49468	50676	+							WV34_00240	1209		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	49468	50676	+	ASF27319.1			hypothetical protein			WV34_00240	1209	402	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	50811	51374	+							WV34_00245	564		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	50811	51374	+	ASF27320.1			ribonuclease M5			WV34_00245	564	187	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	51364	52245	+							WV34_00250	882		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	51364	52245	+	ASF27321.1			16S rRNA methyltransferase			WV34_00250	882	293	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	52419	53294	+							WV34_00255	876		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	52419	53294	+	ASF27322.1			peptidase			WV34_00255	876	291	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	53505	53765	+							WV34_00260	261		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	53505	53765	+	ASF27323.1			ABC transporter permease			WV34_00260	261	86	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	53928	54116	+							WV34_00265	189		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	53928	54116	+	ASF27324.1			protein sspF			WV34_00265	189	62	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	54261	55130	+					ipk		WV34_00270	870		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	54261	55130	+	ASF27325.1			4-diphosphocytidyl-2C-methyl-D-erythritol kinase	ipk		WV34_00270	870	289	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	55186	56043	+							WV34_00275	858		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	55186	56043	+	ASF27326.1			purine operon repressor			WV34_00275	858	285	
gene	protein_coding	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	56040	56420	+							WV34_00280	381		
CDS	with_protein	GCA_002209305.1	Primary Assembly	chromosome		CP011252.1	56040	56420	+	ASF27327.1			endoribonuclease L-PSP			WV34_00280	381	126	
