# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	408	1748	+					dnaA		BCAH820_0001	1341		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	408	1748	+	ACK91525.1			chromosomal replication initiator protein DnaA	dnaA		BCAH820_0001	1341	446	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	1927	3066	+					dnaN1		BCAH820_0002	1140		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	1927	3066	+	ACK89559.1			DNA polymerase III, beta subunit	dnaN1		BCAH820_0002	1140	379	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	3194	3406	+							BCAH820_0003	213		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	3194	3406	+	ACK88223.1			conserved hypothetical protein			BCAH820_0003	213	70	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	3419	4546	+					recF		BCAH820_0004	1128		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	3419	4546	+	ACK89071.1			DNA replication and repair protein RecF	recF		BCAH820_0004	1128	375	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	4585	6507	+					gyrB		BCAH820_0005	1923		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	4585	6507	+	ACK89853.1			DNA gyrase, B subunit	gyrB		BCAH820_0005	1923	640	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	6596	9067	+					gyrA		BCAH820_0006	2472		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	6596	9067	+	ACK91789.1			DNA gyrase, A subunit	gyrA		BCAH820_0006	2472	823	
gene	rRNA	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	9334	10842	+					rrs_1		BCAH820_5664	1509		
rRNA		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	9334	10842	+				16S ribosomal RNA	rrs_1		BCAH820_5664	1509		
gene	tRNA	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	10992	11070	+							BCAH820_0007	79		
tRNA		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	10992	11070	+				tRNA-Ile			BCAH820_0007	79		
gene	tRNA	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	11077	11154	+							BCAH820_0008	78		
tRNA		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	11077	11154	+				tRNA-Ala			BCAH820_0008	78		
gene	rRNA	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	11248	14155	+					rrl_1		BCAH820_5668	2908		
rRNA		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	11248	14155	+				23S ribosomal RNA	rrl_1		BCAH820_5668	2908		
gene	rRNA	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	14205	14320	+					rrf_1		BCAH820_0010	116		
rRNA		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	14205	14320	+				5S ribosomal RNA	rrf_1		BCAH820_0010	116		
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	14355	15356	-							BCAH820_0011	1002		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	14355	15356	-	ACK90967.1			conserved hypothetical protein			BCAH820_0011	1002	333	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	15472	16935	+					guaB		BCAH820_0012	1464		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	15472	16935	+	ACK88978.1			inosine-5'-monophosphate dehydrogenase	guaB		BCAH820_0012	1464	487	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	17040	18356	+					dacA		BCAH820_0013	1317		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	17040	18356	+	ACK92347.1			serine-type D-Ala-D-Ala carboxypeptidase DacA	dacA		BCAH820_0013	1317	438	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	18518	19405	+							BCAH820_0014	888		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	18518	19405	+	ACK90232.1			pyridoxine biosynthesis protein			BCAH820_0014	888	295	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	19424	20014	+							BCAH820_0015	591		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	19424	20014	+	ACK88405.1			glutamine amidotransferase, SNO family			BCAH820_0015	591	196	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	20342	21616	+					serS		BCAH820_0016	1275		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	20342	21616	+	ACK91737.1			seryl-tRNA synthetase	serS		BCAH820_0016	1275	424	
gene	tRNA	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	21773	21865	+							BCAH820_0017	93		
tRNA		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	21773	21865	+				tRNA-Ser			BCAH820_0017	93		
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	22032	22424	+							BCAH820_0018	393		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	22032	22424	+	ACK87261.1			hypothetical protein			BCAH820_0018	393	130	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	22460	23128	-							BCAH820_0019	669		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	22460	23128	-	ACK87858.1			deoxynucleoside kinase family protein			BCAH820_0019	669	222	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	23131	23766	-							BCAH820_0020	636		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	23131	23766	-	ACK90093.1			deoxynucleoside kinase family protein			BCAH820_0020	636	211	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	23892	24431	-							BCAH820_0021	540		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	23892	24431	-	ACK88267.1			isochorismatase family protein			BCAH820_0021	540	179	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	24539	25039	+							BCAH820_0022	501		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	24539	25039	+	ACK90266.1			cytidine/deoxycytidylate deaminase zinc-binding domain protein			BCAH820_0022	501	166	
gene	SRP_RNA	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	25232	25334	+					srpB		BCAH820_5599	103		
ncRNA	SRP_RNA	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	25232	25334	+				Bacterial signal recognition particle RNA	srpB		BCAH820_5599	103		
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	25516	27204	+					dnaX		BCAH820_0023	1689		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	25516	27204	+	ACK92624.1			DNA polymerase III, gamma and tau subunits	dnaX		BCAH820_0023	1689	562	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	27227	27556	+							BCAH820_0024	330		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	27227	27556	+	ACK89259.1			conserved hypothetical protein TIGR00103			BCAH820_0024	330	109	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	27571	28167	+					recR		BCAH820_0025	597		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	27571	28167	+	ACK88645.1			recombination protein RecR	recR		BCAH820_0025	597	198	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	28182	28403	+							BCAH820_0026	222		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	28182	28403	+	ACK89509.1			conserved hypothetical protein			BCAH820_0026	222	73	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	28619	28888	+					bofA		BCAH820_0027	270		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	28619	28888	+	ACK88675.1			sigma-k factor processing regulatory protein BofA	bofA		BCAH820_0027	270	89	
gene	rRNA	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	29132	30640	+					rrs_2		BCAH820_5669	1509		
rRNA		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	29132	30640	+				16S ribosomal RNA	rrs_2		BCAH820_5669	1509		
gene	tRNA	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	30790	30868	+							BCAH820_0028	79		
tRNA		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	30790	30868	+				tRNA-Ile			BCAH820_0028	79		
gene	tRNA	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	30875	30952	+							BCAH820_0029	78		
tRNA		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	30875	30952	+				tRNA-Ala			BCAH820_0029	78		
gene	rRNA	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	31046	33955	+					rrl_2		BCAH820_5670	2910		
rRNA		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	31046	33955	+				23S ribosomal RNA	rrl_2		BCAH820_5670	2910		
gene	rRNA	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	34004	34119	+					rrf_2		BCAH820_0032	116		
rRNA		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	34004	34119	+				5S ribosomal RNA	rrf_2		BCAH820_0032	116		
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	34310	34489	+							BCAH820_0033	180		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	34310	34489	+	ACK92563.1			putative csfB protein			BCAH820_0033	180	59	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	34562	35983	+							BCAH820_0034	1422		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	34562	35983	+	ACK88861.1			Orn/Lys/Arg decarboxylase family protein			BCAH820_0034	1422	473	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	35985	36611	+					tmk		BCAH820_0035	627		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	35985	36611	+	ACK92454.1			thymidylate kinase	tmk		BCAH820_0035	627	208	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	36647	37630	+					holB		BCAH820_0036	984		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	36647	37630	+	ACK91632.1			DNA polymerase III, delta prime subunit	holB		BCAH820_0036	984	327	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	37636	38463	+							BCAH820_0037	828		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	37636	38463	+	ACK91204.1			conserved hypothetical protein			BCAH820_0037	828	275	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	38478	38828	+							BCAH820_0038	351		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	38478	38828	+	ACK90455.1			conserved hypothetical protein			BCAH820_0038	351	116	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	38949	39689	+							BCAH820_0039	741		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	38949	39689	+	ACK91235.1			conserved hypothetical protein			BCAH820_0039	741	246	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	39676	39966	+							BCAH820_0040	291		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	39676	39966	+	ACK90483.1			conserved hypothetical protein			BCAH820_0040	291	96	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	39935	40810	+							BCAH820_0041	876		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	39935	40810	+	ACK89391.1			tetrapyrrole methylase family protein			BCAH820_0041	876	291	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	40831	41115	-					abrB		BCAH820_0042	285		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	40831	41115	-	ACK88802.1			transition state transcriptional regulatory protein AbrB	abrB		BCAH820_0042	285	94	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	41606	43588	+					metS		BCAH820_0043	1983		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	41606	43588	+	ACK88145.1			methionyl-tRNA synthetase	metS		BCAH820_0043	1983	660	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	43754	44521	+							BCAH820_0044	768		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	43754	44521	+	ACK87551.1			deoxyribonuclease, TatD family			BCAH820_0044	768	255	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	44736	45293	+							BCAH820_0045	558		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	44736	45293	+	ACK89878.1			primase-related protein			BCAH820_0045	558	185	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	45290	46168	+					ksgA		BCAH820_0046	879		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	45290	46168	+	ACK90660.1			dimethyladenosine transferase	ksgA		BCAH820_0046	879	292	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	46279	47142	+							BCAH820_0047	864		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	46279	47142	+	ACK88302.1			yabG protein			BCAH820_0047	864	287	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	47381	47641	+							BCAH820_0048	261		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	47381	47641	+	ACK89112.1			veg protein			BCAH820_0048	261	86	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	47733	47912	+					sspF		BCAH820_0049	180		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	47733	47912	+	ACK87461.1			small, acid-soluble spore protein	sspF		BCAH820_0049	180	59	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	48109	48978	+					ispE		BCAH820_0050	870		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	48109	48978	+	ACK88215.1			4-diphosphocytidyl-2C-methyl-D-erythritol kinase	ispE		BCAH820_0050	870	289	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	49033	49881	+					purR		BCAH820_0051	849		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	49033	49881	+	ACK91419.1			pur operon repressor	purR		BCAH820_0051	849	282	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	49868	49987	+							BCAH820_0052	120		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	49868	49987	+	ACK92126.1			hypothetical protein			BCAH820_0052	120	39	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	50004	50378	+							BCAH820_0053	375		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	50004	50378	+	ACK90551.1			putative endoribonuclease L-PSP			BCAH820_0053	375	124	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	50531	50824	+					spoVG		BCAH820_0054	294		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	50531	50824	+	ACK88168.1			stage V sporulation protein G	spoVG		BCAH820_0054	294	97	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	51148	52527	+					gcaD		BCAH820_0055	1380		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	51148	52527	+	ACK88901.1			UDP-N-acetylglucosamine pyrophosphorylase	gcaD		BCAH820_0055	1380	459	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	52546	53499	+					prsA		BCAH820_0056	954		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	52546	53499	+	ACK88790.1			ribose-phosphate pyrophosphokinase	prsA		BCAH820_0056	954	317	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	53509	54132	+					spoVC		BCAH820_0057	624		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	53509	54132	+	ACK87723.1			peptidyl-tRNA hydrolase	spoVC		BCAH820_0057	624	207	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	54203	54427	+							BCAH820_0058	225		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	54203	54427	+	ACK88287.1			conserved hypothetical protein			BCAH820_0058	225	74	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	54533	58063	+					mfd		BCAH820_0059	3531		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	54533	58063	+	ACK91333.1			transcription-repair coupling factor	mfd		BCAH820_0059	3531	1176	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	58200	58736	+					spoVT		BCAH820_0060	537		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	58200	58736	+	ACK92627.1			stage V sporulation protein T	spoVT		BCAH820_0060	537	178	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	58967	60568	+							BCAH820_0061	1602		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	58967	60568	+	ACK89929.1			polysaccharide synthase family protein			BCAH820_0061	1602	533	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	60581	62041	+							BCAH820_0062	1461		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	60581	62041	+	ACK90740.1			tetrapyrrole methylase family protein/MazG family protein			BCAH820_0062	1461	486	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	62056	62331	+							BCAH820_0063	276		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	62056	62331	+	ACK88085.1			S4 domain protein			BCAH820_0063	276	91	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	62390	62698	+					yabP		BCAH820_0064	309		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	62390	62698	+	ACK91974.1			sporulation protein YabP	yabP		BCAH820_0064	309	102	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	62695	63348	+					yabQ		BCAH820_0065	654		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	62695	63348	+	ACK89314.1			spore cortex biosynthesis protein YabQ	yabQ		BCAH820_0065	654	217	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	63345	63704	+					divIC1		BCAH820_0066	360		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	63345	63704	+	ACK90260.1			cell division protein DivIC	divIC1		BCAH820_0066	360	119	
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	63792	64274	+							BCAH820_0067	483		
CDS		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	63792	64274	+	ACK88087.1			S1 RNA binding domain protein			BCAH820_0067	483	160	
gene	tRNA	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	64434	64512	+							BCAH820_0068	79		
tRNA		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	64434	64512	+				tRNA-Met			BCAH820_0068	79		
gene	tRNA	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	64522	64596	+							BCAH820_0069	75		
tRNA		GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	64522	64596	+				tRNA-Glu			BCAH820_0069	75		
gene	protein_coding	GCA_000021785.1	Primary Assembly	chromosome		CP001283.1	64853	67324	+					spoIIE		BCAH820_0070	2472		
