# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000015785.1	Primary Assembly	chromosome		CP000560.1	412	1752	+					dnaA		RBAM_000010	1341		
CDS		GCA_000015785.1	Primary Assembly	chromosome		CP000560.1	412	1752	+	ABS72449.1			DnaA	dnaA		RBAM_000010	1341	446	
gene	protein_coding	GCA_000015785.1	Primary Assembly	chromosome		CP000560.1	1937	3073	+					dnaN		RBAM_000020	1137		
CDS		GCA_000015785.1	Primary Assembly	chromosome		CP000560.1	1937	3073	+	ABS72450.1			DnaN	dnaN		RBAM_000020	1137	378	
gene	protein_coding	GCA_000015785.1	Primary Assembly	chromosome		CP000560.1	3208	3423	+					yaaA		RBAM_000030	216		
CDS		GCA_000015785.1	Primary Assembly	chromosome		CP000560.1	3208	3423	+	ABS72451.1			YaaA	yaaA		RBAM_000030	216	71	
gene	protein_coding	GCA_000015785.1	Primary Assembly	chromosome		CP000560.1	3439	4551	+					recF		RBAM_000040	1113		
CDS		GCA_000015785.1	Primary Assembly	chromosome		CP000560.1	3439	4551	+	ABS72452.1			RecF	recF		RBAM_000040	1113	370	
gene	protein_coding	GCA_000015785.1	Primary Assembly	chromosome		CP000560.1	4569	4814	+					yaaB		RBAM_000050	246		
CDS		GCA_000015785.1	Primary Assembly	chromosome		CP000560.1	4569	4814	+	ABS72453.1			YaaB	yaaB		RBAM_000050	246	81	
gene	protein_coding	GCA_000015785.1	Primary Assembly	chromosome		CP000560.1	4871	6787	+					gyrB		RBAM_000060	1917		
CDS		GCA_000015785.1	Primary Assembly	chromosome		CP000560.1	4871	6787	+	ABS72454.1			GyrB	gyrB		RBAM_000060	1917	638	
gene	protein_coding	GCA_000015785.1	Primary Assembly	chromosome		CP000560.1	7081	9462	+					gyrA		RBAM_000070	2382		
CDS		GCA_000015785.1	Primary Assembly	chromosome		CP000560.1	7081	9462	+	ABS72455.1			GyrA	gyrA		RBAM_000070	2382	793	
gene	rRNA	GCA_000015785.1	Primary Assembly	chromosome		CP000560.1	9760	11314	+							RBAM_000080	1555		
rRNA		GCA_000015785.1	Primary Assembly	chromosome		CP000560.1	9760	11314	+				16S ribosomal RNA			RBAM_000080	1555		
gene	rRNA	GCA_000015785.1	Primary Assembly	chromosome		CP000560.1	11486	14418	+							RBAM_000090	2933		
rRNA		GCA_000015785.1	Primary Assembly	chromosome		CP000560.1	11486	14418	+				23S ribosomal RNA			RBAM_000090	2933		
gene	rRNA	GCA_000015785.1	Primary Assembly	chromosome		CP000560.1	14466	14579	+							RBAM_000100	114		
rRNA		GCA_000015785.1	Primary Assembly	chromosome		CP000560.1	14466	14579	+				5S ribosomal RNA			RBAM_000100	114		
gene	protein_coding	GCA_000015785.1	Primary Assembly	chromosome		CP000560.1	14626	15576	-					yaaC		RBAM_000110	951		
CDS		GCA_000015785.1	Primary Assembly	chromosome		CP000560.1	14626	15576	-	ABS72456.1			YaaC	yaaC		RBAM_000110	951	316	
gene	protein_coding	GCA_000015785.1	Primary Assembly	chromosome		CP000560.1	15697	17163	+					guaB		RBAM_000120	1467		
CDS		GCA_000015785.1	Primary Assembly	chromosome		CP000560.1	15697	17163	+	ABS72457.1			GuaB	guaB		RBAM_000120	1467	488	
gene	protein_coding	GCA_000015785.1	Primary Assembly	chromosome		CP000560.1	17316	18647	+					dacA		RBAM_000130	1332		
CDS		GCA_000015785.1	Primary Assembly	chromosome		CP000560.1	17316	18647	+	ABS72458.1			DacA	dacA		RBAM_000130	1332	443	
gene	protein_coding	GCA_000015785.1	Primary Assembly	chromosome		CP000560.1	18845	19729	+					pdxS		RBAM_000140	885		
CDS		GCA_000015785.1	Primary Assembly	chromosome		CP000560.1	18845	19729	+	ABS72459.1			PdxS	pdxS		RBAM_000140	885	294	
gene	protein_coding	GCA_000015785.1	Primary Assembly	chromosome		CP000560.1	19751	20341	+					pdxT		RBAM_000150	591		
CDS		GCA_000015785.1	Primary Assembly	chromosome		CP000560.1	19751	20341	+	ABS72460.1			PdxT	pdxT		RBAM_000150	591	196	
gene	protein_coding	GCA_000015785.1	Primary Assembly	chromosome		CP000560.1	20661	21938	+					serS		RBAM_000160	1278		
CDS		GCA_000015785.1	Primary Assembly	chromosome		CP000560.1	20661	21938	+	ABS72461.1			SerS	serS		RBAM_000160	1278	425	
gene	protein_coding	GCA_000015785.1	Primary Assembly	chromosome		CP000560.1	21949	23094	-					glxK		RBAM_000170	1146		
